paper_id,section_id,section_name,section_type,claim_id,claim_profile,claim_text,subject,predicate,object,context_summary,context_json,details_summary,details_json,linked_evidence_ids,evidence_count,evidence_summary,evidence_items_json,links_json
Rietveld_et_al_2013_Science,section_997b1c34041edf8b,fallback_section_001,OTHER,claim_c3ff31795337d4ca,,Approximately 40% of the variance in educational attainment is explained by genetic factors.,,,,,{},,{},evidence_4e0dd9e0e67ec378,1,Estimates suggest that around 40% of the variance in educational attainment is explained by genetic factors.,"[{""evidence_id"": ""evidence_4e0dd9e0e67ec378"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""variance explained"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0001"", ""Rietveld_et_al_2013_Science-span-0002"", ""Rietveld_et_al_2013_Science-span-0003"", ""Rietveld_et_al_2013_Science-span-0004""], ""summary_text"": ""Estimates suggest that around 40% of the variance in educational attainment is explained by genetic factors.""}]","[{""claim_id"": ""claim_c3ff31795337d4ca"", ""confidence"": 1.0, ""evidence_id"": ""evidence_4e0dd9e0e67ec378"", ""link_id"": ""claim_evidence_link_16a6d1c8a779fb8d"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_5489b634fe7ae2d5,fallback_section_002,OTHER,claim_0d525e71266078bd,,One genome-wide-significant locus identified for EduYears is rs9320913 (P = 4.2 × 10 -9).,,,,,{},,{},evidence_c7b3a09ff74dc2f2,1,"From the discovery stage, we identified one genome-wide-significant locus (rs9320913, P = 4.2 × 10 -9 ) and three suggestive loci (defined as P < 10 -6 ) for EduYears.","[{""evidence_id"": ""evidence_c7b3a09ff74dc2f2"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""gene identification"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0005"", ""Rietveld_et_al_2013_Science-span-0006"", ""Rietveld_et_al_2013_Science-span-0007"", ""Rietveld_et_al_2013_Science-span-0008""], ""summary_text"": ""From the discovery stage, we identified one genome-wide-significant locus (rs9320913, P = 4.2 × 10 -9 ) and three suggestive loci (defined as P < 10 -6 ) for EduYears.""}]","[{""claim_id"": ""claim_0d525e71266078bd"", ""confidence"": 1.0, ""evidence_id"": ""evidence_c7b3a09ff74dc2f2"", ""link_id"": ""claim_evidence_link_727b174ed4566583"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_5489b634fe7ae2d5,fallback_section_002,OTHER,claim_1105d3791c9d5b14,,Two genome-wide-significant loci identified for College are rs11584700 (P = 2.1 × 10 -9) and rs4851266 (P = 2.2 × 10 -9).,,,,,{},,{},evidence_321e0a0509905497,1,"For College, we identified two genome-wide-significant loci (rs11584700, P = 2.1 × 10 -9 , and rs4851266, P = 2.2 × 10 -9 ) and an additional four suggestive loci.","[{""evidence_id"": ""evidence_321e0a0509905497"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""gene identification"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0005"", ""Rietveld_et_al_2013_Science-span-0006"", ""Rietveld_et_al_2013_Science-span-0007"", ""Rietveld_et_al_2013_Science-span-0008""], ""summary_text"": ""For College, we identified two genome-wide-significant loci (rs11584700, P = 2.1 × 10 -9 , and rs4851266, P = 2.2 × 10 -9 ) and an additional four suggestive loci.""}]","[{""claim_id"": ""claim_1105d3791c9d5b14"", ""confidence"": 1.0, ""evidence_id"": ""evidence_321e0a0509905497"", ""link_id"": ""claim_evidence_link_3398af128ef5d522"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_5489b634fe7ae2d5,fallback_section_002,OTHER,claim_01c875a57838662a,,The three genome-wide-significant SNPs replicate at the Bonferroni-adjusted 5% level.,,,,,{},,{},evidence_47d65dcf839049d7,1,"The three genomewide-significant SNPs replicate at the Bonferroniadjusted 5% level, with point estimates of the same sign and similar magnitude.","[{""evidence_id"": ""evidence_47d65dcf839049d7"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""replication results"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0005"", ""Rietveld_et_al_2013_Science-span-0006"", ""Rietveld_et_al_2013_Science-span-0007"", ""Rietveld_et_al_2013_Science-span-0008""], ""summary_text"": ""The three genomewide-significant SNPs replicate at the Bonferroniadjusted 5% level, with point estimates of the same sign and similar magnitude.""}]","[{""claim_id"": ""claim_01c875a57838662a"", ""confidence"": 1.0, ""evidence_id"": ""evidence_47d65dcf839049d7"", ""link_id"": ""claim_evidence_link_67b6221f279777ef"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_5489b634fe7ae2d5,fallback_section_002,OTHER,claim_c85ae325a10c18ab,,The effect went in the anticipated direction in five out of seven cases for the loci that did not reach genome-wide significance.,,,,,{},,{},evidence_21946a7a2aafe78b,1,The seven loci that did not reach genomewide significance did not replicate (the effect went in the anticipated direction in five out of seven cases).,"[{""evidence_id"": ""evidence_21946a7a2aafe78b"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""replication results"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0005"", ""Rietveld_et_al_2013_Science-span-0006"", ""Rietveld_et_al_2013_Science-span-0007"", ""Rietveld_et_al_2013_Science-span-0008""], ""summary_text"": ""The seven loci that did not reach genomewide significance did not replicate (the effect went in the anticipated direction in five out of seven cases).""}]","[{""claim_id"": ""claim_c85ae325a10c18ab"", ""confidence"": 1.0, ""evidence_id"": ""evidence_21946a7a2aafe78b"", ""link_id"": ""claim_evidence_link_e47e7b94d9f3cfa7"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_705338484555bbd7,fallback_section_003,OTHER,claim_806185d2ea44a354,,"The strongest effect identified for EduYears (rs9320913) explains 0.022% of phenotypic variance in the replication sample, corresponding to a difference of ≈1 month of schooling per allele.",,,,,{},,{},evidence_424fac82a5dc8733,1,"For EduYears, the strongest effect identified (rs9320913) explains 0.022% of phenotypic variance in the replication sample. This coefficient of determination R 2 corresponds to a difference of ≈1 month of schooling per allele.","[{""evidence_id"": ""evidence_424fac82a5dc8733"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""phenotypic_variance"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0009"", ""Rietveld_et_al_2013_Science-span-0010"", ""Rietveld_et_al_2013_Science-span-0011"", ""Rietveld_et_al_2013_Science-span-0012""], ""summary_text"": ""For EduYears, the strongest effect identified (rs9320913) explains 0.022% of phenotypic variance in the replication sample. This coefficient of determination R 2 corresponds to a difference of ≈1 month of schooling per allele.""}]","[{""claim_id"": ""claim_806185d2ea44a354"", ""confidence"": 1.0, ""evidence_id"": ""evidence_424fac82a5dc8733"", ""link_id"": ""claim_evidence_link_d158b7a074f07f5f"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_705338484555bbd7,fallback_section_003,OTHER,claim_a0bc659c5672976f,,"The SNP with the strongest estimated effect for College completion (rs11584700) has an odds ratio of 0.912, equivalent to a 1.8 percentage-point difference per allele in the frequency of completing College.",,,,,{},,{},evidence_87da972125057a3b,1,"For College completion, the SNP with the strongest estimated effect (rs11584700) has an odds ratio of 0.912 in the replication sample, equivalent to a 1.8 percentage-point difference per allele in the frequency of completing College.","[{""evidence_id"": ""evidence_87da972125057a3b"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""odds_ratio"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0009"", ""Rietveld_et_al_2013_Science-span-0010"", ""Rietveld_et_al_2013_Science-span-0011"", ""Rietveld_et_al_2013_Science-span-0012""], ""summary_text"": ""For College completion, the SNP with the strongest estimated effect (rs11584700) has an odds ratio of 0.912 in the replication sample, equivalent to a 1.8 percentage-point difference per allele in the frequency of completing College.""}]","[{""claim_id"": ""claim_a0bc659c5672976f"", ""confidence"": 1.0, ""evidence_id"": ""evidence_87da972125057a3b"", ""link_id"": ""claim_evidence_link_693e9485a2310958"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_705338484555bbd7,fallback_section_003,OTHER,claim_2c418593258ba83a,,A combined stage meta-analysis revealed additional genome-wide-significant SNPs: four for EduYears and three for College.,,,,,{},,{},evidence_61fc16f700431afc,1,This analysis revealed additional genome-wide-significant SNPs: four for EduYears and three for College.,"[{""evidence_id"": ""evidence_61fc16f700431afc"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""SNP_significance"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0009"", ""Rietveld_et_al_2013_Science-span-0010"", ""Rietveld_et_al_2013_Science-span-0011"", ""Rietveld_et_al_2013_Science-span-0012""], ""summary_text"": ""This analysis revealed additional genome-wide-significant SNPs: four for EduYears and three for College.""}]","[{""claim_id"": ""claim_2c418593258ba83a"", ""confidence"": 1.0, ""evidence_id"": ""evidence_61fc16f700431afc"", ""link_id"": ""claim_evidence_link_4418da30b514dfef"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_705338484555bbd7,fallback_section_003,OTHER,claim_244e9efc96d18647,,The constructed linear polygenic score suggests a cumulative effect of SNPs on educational attainment.,,,,,{},,{},evidence_6bbc0cac00f15e03,1,"To evaluate the combined explanatory power, we constructed a linear polygenic score for each of our two education measures using the meta-analysis results.","[{""evidence_id"": ""evidence_6bbc0cac00f15e03"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""polygenic_score"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""evidence"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0009"", ""Rietveld_et_al_2013_Science-span-0010"", ""Rietveld_et_al_2013_Science-span-0011"", ""Rietveld_et_al_2013_Science-span-0012""], ""summary_text"": ""To evaluate the combined explanatory power, we constructed a linear polygenic score for each of our two education measures using the meta-analysis results.""}]","[{""claim_id"": ""claim_244e9efc96d18647"", ""confidence"": 1.0, ""evidence_id"": ""evidence_6bbc0cac00f15e03"", ""link_id"": ""claim_evidence_link_69eeebeb9848eb22"", ""relation"": ""supports""}]"
Rietveld_et_al_2013_Science,section_03c29f5a900e06dc,fallback_section_005,OTHER,claim_2ffc87992a116f80,,The linear polygenic score from all measured SNPs accounts for ≈2% of the variance in EduYears in the STR sample.,,,,,{},,{},evidence_9e4564dbef56e6d9,1,The linear polygenic score from all measured SNPs accounts for ≈2% (P = 1.0 × 10 -29) of the variance in EduYears in the STR sample and ≈3% (P = 7.1 × 10 -24) in the QIMR sample.,"[{""evidence_id"": ""evidence_9e4564dbef56e6d9"", ""evidence_method"": ""textual_evidence"", ""outcome_type"": ""variance explained"", ""paper_id"": ""Rietveld_et_al_2013_Science"", ""presentation_type"": ""text"", ""role"": ""supporting"", ""source_span_ids"": [""Rietveld_et_al_2013_Science-span-0014"", ""Rietveld_et_al_2013_Science-span-0015"", ""Rietveld_et_al_2013_Science-span-0016"", ""Rietveld_et_al_2013_Science-span-0017""], ""summary_text"": ""The linear polygenic score from all measured SNPs accounts for ≈2% (P = 1.0 × 10 -29) of the variance in EduYears in the STR sample and ≈3% (P = 7.1 × 10 -24) in the QIMR sample.""}]","[{""claim_id"": ""claim_2ffc87992a116f80"", ""confidence"": 0.85, ""evidence_id"": ""evidence_9e4564dbef56e6d9"", ""link_id"": ""claim_evidence_link_4960a7c14eab2e7f"", ""relation"": ""supports""}]"
